#,u,m,v,e,p,s
br,1,79.9,31.059,3.319,3.05,-0.0011
c,1,12.01,22.449,2.746,1.76,-0.00143
c1,1,12.01,22.449,2.746,1.76,-0.00143
c2,1,12.01,22.449,2.746,1.76,-0.00143
c3,1,12.01,22.449,2.746,1.76,-0.00143
ca,1,12.01,22.449,2.746,1.76,-0.00052
cc,1,12.01,22.449,2.746,1.76,-0.00143
cd,1,12.01,22.449,2.746,1.76,-0.00143
ce,1,12.01,22.449,2.746,1.76,-0.00143
cf,1,12.01,22.449,2.746,1.76,-0.00143
ch,1,12.01,22.449,2.746,1.76,-0.00143
cl,1,35.45,23.228,3.175,2.18,-0.0011
cp,1,12.01,22.449,2.746,1.76,-0.00143
cx,1,12.01,22.449,2.746,1.76,-0.00143
f,1,19,9.203,4,0.557,-0.0011
h1,1,1.01,6.709,2.592,0.667,0.00051
h2,1,1.01,6.709,2.592,0.667,0.00051
h3,1,1.01,6.709,2.592,0.667,0.00051
h4,1,1.01,6.709,2.592,0.667,0.00051
h5,1,1.01,6.709,2.592,0.667,0.00051
ha,1,1.01,6.709,2.592,0.667,0.00051
hc,1,1.01,6.709,2.592,0.667,0.00051
hn,1,1.01,6.709,2.592,0.667,0.00051
ho,1,1.01,6.709,2.592,0.667,0.00051
i,1,126.9,38.792,2.778,5.35,-0.0011
n,1,14.01,15.599,3.194,1.1,-0.00162
n2,1,14.01,15.599,3.194,1.1,-0.00162
n1,1,14.01,15.599,3.194,1.1,-0.00162
n3,1,14.01,15.599,3.194,1.1,-0.00162
na,1,14.01,15.599,3.194,1.1,-0.00162
nb,1,14.01,15.599,3.194,1.1,-0.00162
nc,1,14.01,15.599,3.194,1.1,-0.00162
nd,1,14.01,15.599,3.194,1.1,-0.00162
nh,1,14.01,15.599,3.194,1.1,-0.00162
no,1,14.01,15.599,3.194,1.1,-0.00251
o,1,16,11.404,3.654,0.802,-0.00251
oh,1,16,11.404,3.654,0.802,-0.00251
os,1,16,11.404,3.654,0.802,-0.00214
s,1,32.07,14.429,2.957,2,-0.00214
s6,1,32.07,14.429,2.957,2,-0.0011
ss,1,32.07,14.429,2.957,2,-0.0011
ni,1,58.69,17.157,2,6.8,-0.0011
cu,1,63.55,11.494,2.033,6.1,-0.0011
zn,1,65.39,38.351,2.223,7.1,-0.0011
sn,1,118.71,45.83,2.298,7.7,-0.0011
al,1,26.98,36.511,1.714,6.8,-0.0011
co,1,58.93,35.011,2,7.5,-0.0011
fe,1,55.85,41.052,2,8.4,-0.0011
si,1,28.09,31.976,2.138,5.38,-0.0011
